combo_index,trend_label,range_ratio,variance_ratio,variogram_type,residual_seed,residual_range_m,folder,actual_trend_to_total_var,f_regular,nugget
72,Gaussian Random Field - 1,0.1,0.4,Spherical,1372,100.0,GS_experiment_datasets/0072_Gaussian_Random_Field___1_rr0.1_vr0.4_fr0.25_Spherical,0.4003672611151118,0.25,0
73,Gaussian Random Field - 1,0.1,0.4,Spherical,1373,100.0,GS_experiment_datasets/0073_Gaussian_Random_Field___1_rr0.1_vr0.4_fr0.5_Spherical,0.4024770584137575,0.5,0
74,Gaussian Random Field - 1,0.1,0.4,Spherical,1374,100.0,GS_experiment_datasets/0074_Gaussian_Random_Field___1_rr0.1_vr0.4_fr1_Spherical,0.4000353944841095,1.0,0
75,Gaussian Random Field - 1,0.1,0.5,Spherical,1375,100.0,GS_experiment_datasets/0075_Gaussian_Random_Field___1_rr0.1_vr0.5_fr0.25_Spherical,0.5043366215966445,0.25,0
76,Gaussian Random Field - 1,0.1,0.5,Spherical,1376,100.0,GS_experiment_datasets/0076_Gaussian_Random_Field___1_rr0.1_vr0.5_fr0.5_Spherical,0.5016930934161951,0.5,0
77,Gaussian Random Field - 1,0.1,0.5,Spherical,1377,100.0,GS_experiment_datasets/0077_Gaussian_Random_Field___1_rr0.1_vr0.5_fr1_Spherical,0.5016947545555182,1.0,0
78,Gaussian Random Field - 1,0.1,0.6,Spherical,1378,100.0,GS_experiment_datasets/0078_Gaussian_Random_Field___1_rr0.1_vr0.6_fr0.25_Spherical,0.6010291040249504,0.25,0
79,Gaussian Random Field - 1,0.1,0.6,Spherical,1379,100.0,GS_experiment_datasets/0079_Gaussian_Random_Field___1_rr0.1_vr0.6_fr0.5_Spherical,0.6001595236509683,0.5,0
80,Gaussian Random Field - 1,0.1,0.6,Spherical,1380,100.0,GS_experiment_datasets/0080_Gaussian_Random_Field___1_rr0.1_vr0.6_fr1_Spherical,0.6014165538692274,1.0,0
81,Gaussian Random Field - 1,0.1,0.7,Spherical,1381,100.0,GS_experiment_datasets/0081_Gaussian_Random_Field___1_rr0.1_vr0.7_fr0.25_Spherical,0.7012957779086509,0.25,0
82,Gaussian Random Field - 1,0.1,0.7,Spherical,1382,100.0,GS_experiment_datasets/0082_Gaussian_Random_Field___1_rr0.1_vr0.7_fr0.5_Spherical,0.7011956669062299,0.5,0
83,Gaussian Random Field - 1,0.1,0.7,Spherical,1383,100.0,GS_experiment_datasets/0083_Gaussian_Random_Field___1_rr0.1_vr0.7_fr1_Spherical,0.7035978807618724,1.0,0
